documento,numero,fecha,grupo1,tipo,pedido,numpedido
18003424,423.54,17/05/18,PACO CANTERO,Factura,Pedido,20531
18003423,1625.19,17/05/18,PACO CANTERO,Factura,Pedido,19878
18003225,315.42,10/05/18,PACO CANTERO,Factura,Pedido,20531
18003224,55.02,10/05/18,PACO CANTERO,Factura,Pedido,19878
18003223,45.98,10/05/18,PACO CANTERO,Factura,Pedido,16383
18003222,21.60,10/05/18,PACO CANTERO,Factura,Pedido,17055
18003221,224.14,10/05/18,PACO CANTERO,Factura,Pedido,18009
18003220,248.85,10/05/18,PACO CANTERO,Factura,Pedido,20068
18003219,85.02,10/05/18,PACO CANTERO,Factura,Pedido,18354
18003218,605.82,10/05/18,PACO CANTERO,Factura,Pedido,20113
18003217,612.77,10/05/18,PACO CANTERO,Factura,Pedido,16527
18003216,707.06,10/05/18,PACO CANTERO,Factura,Pedido,20169
18003215,2068.27,10/05/18,PACO CANTERO,Factura,Pedido,19778
18005019,383.85,12/07/18,PACO CANTERO,Factura,Pedido,18354
18005018,263.87,12/07/18,PACO CANTERO,Factura,Pedido,20113
18005017,64.92,12/07/18,PACO CANTERO,Factura,Pedido,16994
18005016,89.93,12/07/18,PACO CANTERO,Factura,Pedido,20169
18005015,2314.96,12/07/18,PACO CANTERO,Factura,Pedido,20067
18005014,1280.79,12/07/18,PACO CANTERO,Factura,Pedido,19778
18001525,124.09,05/03/18,PACO CANTERO,Factura,Pedido,19926
18001524,48.10,05/03/18,PACO CANTERO,Factura,Pedido,20010
18001523,4620.88,05/03/18,PACO CANTERO,Factura,Pedido,20257
18001522,10.80,05/03/18,PACO CANTERO,Factura,Pedido,17803
18006500,304.24,06/09/18,PACO CANTERO,Factura,Pedido,20565
18006499,96.65,06/09/18,PACO CANTERO,Factura,Pedido,20684
18005013,42.09,12/07/18,PACO CANTERO,Factura,Pedido,16164
18005012,7.83,12/07/18,PACO CANTERO,Factura,Pedido,20584
18006498,492.01,06/09/18,PACO CANTERO,Factura,Pedido,20152
18006497,129.20,06/09/18,PACO CANTERO,Factura,Pedido,18095
18009192,1209.91,05/12/18,PACO CANTERO,Factura,Pedido,19778
18009191,35.34,05/12/18,PACO CANTERO,Factura,Pedido,19778
18006496,523.12,06/09/18,PACO CANTERO,Factura,Pedido,20531
18006495,70.62,06/09/18,PACO CANTERO,Factura,Pedido,19878
18002087,1521.10,22/03/18,PACO CANTERO,Factura,Pedido,20067
18002086,1000.64,22/03/18,PACO CANTERO,Factura,Pedido,19778
18005034,5184.98,12/07/18,PACO CANTERO,Factura,Pedido,19030
18005033,216.93,12/07/18,PACO CANTERO,Factura,Pedido,19926
18002088,2115.72,22/03/18,PACO CANTERO,Factura,Pedido,20169
18002089,29.26,22/03/18,PACO CANTERO,Factura,Pedido,16994
18002090,80.39,22/03/18,PACO CANTERO,Factura,Pedido,20113
18002091,1237.77,22/03/18,PACO CANTERO,Factura,Pedido,18354
18002092,53.26,22/03/18,PACO CANTERO,Factura,Pedido,20068
18006503,1022.21,06/09/18,PACO CANTERO,Factura,Pedido,19926
18006502,203.54,06/09/18,PACO CANTERO,Factura,Pedido,20639
18005032,25.85,12/07/18,PACO CANTERO,Factura,Pedido,20010
18006501,2832.44,06/09/18,PACO CANTERO,Factura,Pedido,20257
18005031,2305.50,12/07/18,PACO CANTERO,Factura,Pedido,20257
18005030,159.83,12/07/18,PACO CANTERO,Factura,Pedido,20565
18005029,87.15,12/07/18,PACO CANTERO,Factura,Pedido,17803
18005028,509.43,12/07/18,PACO CANTERO,Factura,Pedido,20684
18005027,332.72,12/07/18,PACO CANTERO,Factura,Pedido,20152
18005026,17.50,12/07/18,PACO CANTERO,Factura,Pedido,18095
18005025,374.48,12/07/18,PACO CANTERO,Factura,Pedido,20531
18005024,447.19,12/07/18,PACO CANTERO,Factura,Pedido,19878
18005023,412.10,12/07/18,PACO CANTERO,Factura,Pedido,16383
18005022,414.42,12/07/18,PACO CANTERO,Factura,Pedido,17055
18005021,1453.36,12/07/18,PACO CANTERO,Factura,Pedido,18009
18005020,212.65,12/07/18,PACO CANTERO,Factura,Pedido,20068
18003232,613.78,10/05/18,PACO CANTERO,Factura,Pedido,19030
18003231,177.15,10/05/18,PACO CANTERO,Factura,Pedido,16211
18003230,159.60,10/05/18,PACO CANTERO,Factura,Pedido,19926
18003229,3793.60,10/05/18,PACO CANTERO,Factura,Pedido,20257
18003228,400.53,10/05/18,PACO CANTERO,Factura,Pedido,17803
18003227,243.44,10/05/18,PACO CANTERO,Factura,Pedido,20152
18003226,38.23,10/05/18,PACO CANTERO,Factura,Pedido,18095
18007719,365.61,18/10/18,PACO CANTERO,Factura,Pedido,20531
18007720,566.78,18/10/18,PACO CANTERO,Factura,Pedido,18095
18007721,261.46,18/10/18,PACO CANTERO,Factura,Pedido,19663
18002329,16.50,05/04/18,PACO CANTERO,Factura,Pedido,17803
18007722,100.78,18/10/18,PACO CANTERO,Factura,Pedido,20152
